Games	Wins	Winning percent
359	175	0.487465
360	175	0.486111
361	176	0.487535
362	177	0.48895
363	177	0.487603
364	177	0.486264
365	177	0.484931
366	178	0.486339
367	179	0.487738
368	180	0.48913
369	180	0.487805
370	180	0.486486
371	180	0.485175
372	181	0.486559
373	181	0.485255
374	182	0.486631
375	182	0.485333
376	183	0.486702
377	184	0.488064
378	185	0.489418
379	185	0.488127
380	186	0.489474
381	186	0.488189
382	187	0.489529
383	188	0.490862
384	188	0.489583
385	189	0.490909
386	190	0.492228
387	191	0.49354
388	192	0.494845
389	192	0.493573
390	193	0.494872
391	193	0.493606
392	193	0.492347
393	194	0.493639
394	194	0.492386
395	195	0.493671
396	195	0.492424
397	195	0.491184
398	196	0.492462
399	196	0.491228
400	196	0.49
401	196	0.488778
402	196	0.487562
403	197	0.488834
404	198	0.490099
405	198	0.488889
406	198	0.487685
407	199	0.488943
408	199	0.487745
409	199	0.486553
410	200	0.487805
411	201	0.489051
412	201	0.487864
413	201	0.486683
414	201	0.485507
415	202	0.486747
416	203	0.487981
417	203	0.486811
418	203	0.485646
419	204	0.486874
420	204	0.485714
421	204	0.484561
422	204	0.483412
423	205	0.484634
424	206	0.485849
425	206	0.484706
426	206	0.483568
427	207	0.484778
428	207	0.483645
429	208	0.484848
430	209	0.486047
431	209	0.484919
432	210	0.486111
433	210	0.484988
434	210	0.483871
435	210	0.482759
436	210	0.481651
437	210	0.480549
438	210	0.479452
439	211	0.480638
440	211	0.479545
441	211	0.478458
442	212	0.479638
443	213	0.480813
444	213	0.47973
445	213	0.478652
446	214	0.479821
447	214	0.478747
448	214	0.477679
449	215	0.478842
450	215	0.477778
451	215	0.476718
452	215	0.475664
453	216	0.476821
454	217	0.477974
455	217	0.476923
456	218	0.47807
457	218	0.477024
458	219	0.478166
459	219	0.477124
460	220	0.478261
461	221	0.479393
462	222	0.480519
463	223	0.481641
464	224	0.482759
465	224	0.48172
466	224	0.480687
467	224	0.479657
468	224	0.478632
469	225	0.479744
470	226	0.480851
471	227	0.481953
472	227	0.480932
473	228	0.48203
474	228	0.481013
475	229	0.482105
476	230	0.483193
477	231	0.484277
478	231	0.483264
479	232	0.484342
480	232	0.483333
481	232	0.482328
482	233	0.483402
483	234	0.484472
484	234	0.483471
485	235	0.484536
486	235	0.483539
487	235	0.482546
488	235	0.481557
489	236	0.482618
490	236	0.481633
491	237	0.482688
492	237	0.481707
493	237	0.48073
494	238	0.481781
495	238	0.480808
496	238	0.479839
497	239	0.480885
498	240	0.481928
499	241	0.482966
500	242	0.484
501	242	0.483034
502	242	0.482072
503	242	0.481113
504	243	0.482143
505	244	0.483168
506	244	0.482213
507	245	0.483235
508	245	0.482283
509	246	0.483301
510	246	0.482353
511	247	0.483366
512	248	0.484375
513	249	0.48538
514	249	0.484436
515	250	0.485437
516	251	0.486434
517	251	0.485493
518	251	0.484556
519	252	0.485549
520	252	0.484615
521	253	0.485605
522	253	0.484674
523	253	0.483748
524	253	0.482824
525	254	0.48381
526	254	0.48289
527	254	0.481973
528	255	0.482955
529	256	0.483932
530	257	0.484906
531	257	0.483992
532	258	0.484962
533	258	0.484053
534	259	0.485019
535	259	0.484112
536	259	0.483209
537	260	0.484171
538	260	0.483271
539	260	0.482375
540	261	0.483333
541	262	0.484288
542	263	0.48524
543	263	0.484346
544	263	0.483456
545	263	0.482569
546	264	0.483516
547	265	0.484461
548	266	0.485401
549	266	0.484517
550	267	0.485455
551	267	0.484574
552	268	0.485507
553	268	0.484629
554	268	0.483755
555	268	0.482883
556	268	0.482014
557	269	0.482944
558	269	0.482079
559	269	0.481216
560	270	0.482143
561	270	0.481283
562	270	0.480427
563	270	0.479574
564	271	0.480496
565	271	0.479646
566	271	0.478799
567	271	0.477954
568	271	0.477113
569	271	0.476274
570	271	0.475439
571	271	0.474606
572	272	0.475524
573	272	0.474695
574	273	0.47561
575	273	0.474783
576	274	0.475694
577	274	0.47487
578	274	0.474048
579	275	0.474957
580	276	0.475862
581	276	0.475043
582	276	0.474227
